iter	RMSE
0	14.005006
1	13.14441192
2	12.34258257
3	11.64527793
4	11.02766183
5	10.43485794
6	9.890641275
7	9.492161212
8	9.105082953
9	8.674157135
10	8.341743544
11	8.049372916
12	7.757318612
13	7.522206899
14	7.297756655
15	7.088359431
16	6.882113791
17	6.704728832
18	6.563881962
19	6.418790279
20	6.315756953
21	6.210157751
22	6.115058449
23	6.014819884
24	5.93117229
25	5.844857622
26	5.771145213
27	5.704018229
28	5.665806474
29	5.616500369
30	5.558023666
31	5.510080976
32	5.468747792
33	5.429275534
34	5.402117324
35	5.367635151
36	5.345181232
37	5.319151269
38	5.296134146
39	5.269629003
40	5.251147059
41	5.248003302
42	5.232376509
43	5.213524255
44	5.189691584
45	5.166052198
46	5.140406659
47	5.118929684
48	5.108792602
49	5.098141225
