iter	Passed	Remaining
0	0	629
1	1	582
2	1	568
3	2	550
4	2	540
5	3	539
6	3	542
7	4	578
8	5	574
9	5	593
10	6	584
11	7	578
12	7	571
13	8	565
14	8	562
15	9	554
16	9	550
17	10	550
18	10	562
19	11	566
20	12	567
21	12	574
22	13	569
23	13	565
24	14	563
25	14	559
26	15	559
27	16	561
28	16	563
29	17	565
30	18	565
31	18	567
32	19	564
33	19	562
34	20	560
35	20	558
36	21	556
37	21	553
38	22	553
39	23	552
40	23	551
41	24	549
42	24	547
43	25	546
44	25	546
45	26	544
46	26	543
47	27	542
48	27	541
49	28	544
50	29	543
51	29	541
52	30	539
53	30	538
54	31	536
55	31	534
56	32	534
57	32	532
58	33	531
59	33	530
60	34	530
61	34	528
62	35	527
63	36	529
64	36	529
65	37	527
66	37	526
67	38	524
68	38	523
69	39	522
70	39	522
71	40	524
72	41	526
73	42	527
74	42	527
75	43	528
76	43	527
77	44	527
78	45	530
79	46	529
80	46	528
81	47	528
82	47	525
83	48	524
84	48	524
85	49	522
86	49	521
87	50	520
88	50	518
89	51	517
90	51	518
91	52	518
92	53	518
93	53	518
94	54	517
95	54	516
96	55	514
97	55	513
98	56	512
99	56	511
100	57	510
101	58	511
102	58	511
103	59	510
104	59	509
105	60	508
106	60	507
107	61	506
108	61	505
109	62	504
110	62	503
111	63	502
112	64	503
113	64	502
114	65	501
115	65	502
116	66	501
117	67	500
118	67	499
119	67	498
120	68	496
121	68	495
122	69	493
123	69	494
124	70	493
125	71	493
126	71	492
127	72	491
128	73	493
129	73	494
130	74	492
131	74	491
132	75	490
133	76	492
134	76	492
135	77	491
136	77	490
137	78	489
138	78	488
139	79	487
140	79	485
141	80	483
142	80	482
143	81	482
144	81	480
145	82	480
146	82	480
147	83	480
148	83	479
149	84	478
150	84	477
151	85	476
152	86	476
153	86	475
154	86	474
155	87	473
156	88	472
157	88	471
158	89	471
159	89	470
160	90	469
161	90	468
162	91	467
163	91	466
164	91	465
165	92	464
166	92	463
167	93	462
168	93	461
169	94	461
170	95	461
171	95	460
172	96	460
173	96	459
174	97	458
175	97	457
176	98	455
177	98	454
178	98	453
179	99	453
180	100	456
181	101	455
182	101	454
183	102	453
184	102	453
185	103	452
186	103	451
187	104	450
188	104	449
189	105	448
190	105	447
191	106	446
192	106	446
193	107	445
194	107	444
195	108	443
196	108	442
197	109	441
198	109	440
199	109	439
200	110	438
201	110	437
202	111	436
203	111	435
204	111	434
205	112	433
206	112	432
207	113	431
208	114	432
209	114	431
210	115	430
211	115	430
212	116	429
213	116	428
214	117	427
215	117	426
216	118	426
217	118	425
218	119	424
219	119	423
220	119	422
221	120	421
222	120	420
223	121	419
224	121	418
225	122	417
226	122	416
227	122	416
228	123	415
229	123	414
230	124	413
231	124	413
232	125	412
233	125	411
234	126	410
235	126	410
236	127	410
237	128	411
238	128	410
239	129	409
240	129	409
241	130	408
242	130	407
243	131	406
244	131	406
245	132	405
246	132	404
247	133	403
248	133	403
249	134	402
250	134	401
251	134	400
252	135	399
253	135	398
254	136	397
255	136	397
256	137	396
257	137	395
258	137	394
259	138	394
260	138	393
261	139	392
262	139	391
263	140	390
264	140	389
265	140	388
266	141	388
267	141	387
268	142	386
269	142	385
270	143	385
271	143	384
272	143	383
273	144	382
274	144	381
275	145	380
276	145	380
277	146	379
278	146	378
279	146	377
